title,abstract,authors,keywords,doi,url,year,asreview_label,asreview_time,asreview_note
Natural language addressing,"Large unstructured or semi-structured datasets require a high level of computational sophistication because operations that are easy at a small scale — such as moving data betweenmachines or in and out of storage, visualizing the data, or displaying results —can all require substantial algorithmic ingenuity. As a data set becomes increasingly massive, it may be infeasible to gather it in one place and analyze it as a whole. Thus, there may be a need for algorithms that operate in a distributed fashion, analyzing subsets of the data and aggregating those results to understand the complete set. One aspect of this is the challenge of data assimilation, in which we wish to use new data to update model parameters without reanalyzing the entire data set. This is essential when new waves of data continue to arrive, or subsets are analyzed in isolation of one another, and one aims to improve the model and inferences in an adaptive fashion — for example, with streaming algorithms [NRC, 2013].",Markov Krassimir; Ivanova Krassimira; Vanhoof Koen; Velychko Vitalii,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,2015,0,2025-09-05 15:17,
RDFArM-a system for storing large sets of RDF triples and quadruples by means of natural language addressing,In this paper we present results from experiments for storing middle-size and large sets of RDF triples and quadruples by means of Natural Language Addressing. For experiments we have realized program RDFArM aimed to store RDF triples and quadruples in multi-layer hash tables (information spaces with variable size). The main features of program RDFArM are outlined in the paper. Analysis of the experimental results and rank-based multiple comparison are discussed.,Ivanova Krassimira,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:18,,,2012,0,2025-09-05 15:18,
PDF,,,,,file:///Users/arjen/Zotero/storage/2S8HC6TG/Markov - 2004 - Multi-domain information model.pdf,,,,
ALGORITHM FOR QUICK NUMBERING OF LARGE VOLUMES OF DATA,"An original algorithm for numbering large datasets by means of Natural Language Addressing (NLA) is presented in the paper. We use a counter to number different instances and store its current value in the container NL-addressed by the instance. If the instance is repeated, from this NL-address we receive its already assigned number. The algorithm is implemented in an experimental program RDFArM for storing large RDF-datasets. The provided experiments have shown that NL-access time for one instance (triple or quadruple) does not depend on number of already stored instances from the dataset. This is very important for storing Big Data.",Ivanova Krassimira,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:18,,,2015,0,2025-09-05 15:18,
RDFArM-a system for storing large sets of RDF triples and quadruples by means of natural language addressing,In this paper we present results from experiments for storing middle-size and large sets of RDF triples and quadruples by means of Natural Language Addressing. For experiments we have realized program RDFArM aimed to store RDF triples and quadruples in multi-layer hash tables (information spaces with variable size). The main features of program RDFArM are outlined in the paper. Analysis of the experimental results and rank-based multiple comparison are discussed.,Ivanova Krassimira,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:18,,,2012,0,2025-09-05 15:18,
Distributed virtual laboratories for smart sensor system design,"In the article it is considered preconditions and main principles of creation of virtual laboratories for computer-aided design, as tools for interdisciplinary researches. An important feature of this project is using the advanced multi-dimensional access method for organizing the information base of the Virtual laboratory. Virtual laboratory, what are offered, is worth to be used on the stage of the requirements specification or EFT-stage, because it gives the possibility of fast estimating of the project realization, certain characteristics and, as a result, expected benefit of its applications. Using of these technologies already increase automation level of design stages of new devices for different purposes. Proposed computer technology gives possibility to specialists from such scientific fields, as chemistry, biology, biochemistry, physics etc, to check possibility of device creating on the basis of developed sensors. It lets to reduce terms and costs of designing of computer devices and systems on the early stages of designing, for example on the stage of requirements specification or EFT-stage. An instance of using the VLCAD is designing the Portable Device"" Floratest"" as Tool for Estimating of Megalopolis Ecology State. Portable device"" Floratest"" is aimed for express-diagnostic of plant state. It is developed in the VM Glushkov Institute of Cybernetics of National Academy of Sciences of Ukraine. Party of this device is manufactured and transferred to organizations, worked in the agricultural sector, environmental protection area, mineral fertilizer production etc. for working out of methodical tools. Using of the device for estimating of megalopolis ecology state by means of evaluation of green plant state is described in the article. Together with Megalopolis Ecomonitoring and Biodiversity Research Center of National Academy of Sciences of Ukraine there were got results of experimental researches of influence detecting of heavy metals and harmful substances on the trees and plants in Kiev.",Velychko Vitalii; Palagin Oleksandr; Romanov Volodymyr; Galelyuka Igor; Fedak Volodymyr; Grusha Volodymyr; Artemenko Dmytro; Galelyuka Oksana,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,2009,0,2025-09-05 15:17,
,,,,,,,,,
Multi-domain virtual network embedding with coordinated link mapping,"Network Virtualization, which allows the coexistence of various logical networks on shared physical infrastructure, has become popular in recent years. The optimal mapping of virtual resource to physical resource is a major issue in network virtualization. This problem, called virtual network embedding (VNE), has been well explored in the context of one physical domain, which is in practice operated by a single infrastructure provider (InP). However, the needs of virtual network (VN) is rapidly growing, and quite a number of VNs have to be established across multi-domain. For multi-domain VNE, infrastructure providers can no longer just solve their own single domain VNE problem, but have to cooperate to build the whole VN. Therefore, new challenge arises for the multi-domain VNE, compared to traditional single domain VNE. The existing investigations on this problem mainly focus on decomposing a VN to sub VN for each domain, but little attention has been paid to the joint relation between intra-domain and inter-domain (peering) links. In this paper, we propose a multi-domain link mapping method which combines the intra and peering link mapping so as to optimize the overall resource utilization. Our approach is easy to be deployed since it is based on current Internet architecture. Evaluation shows that our approach brings improvements related to existing methods.",Li Shuopeng; Saidi Mohand Yazid; Chen Ken,Bandwidth; III-V semiconductor materials; Indium phosphide; Peer-to-peer computing; Substrates; Topology; Virtualization; review:Decision=excluded; review:Time=2025-09-05 15:17,10.1109/SOFTCOM.2016.7772158,,2016,0,2025-09-05 15:17,
,,,,,,,,,
,,,,,,,,,
OntoArM-a system for storing ontologies by natural language addressing,In this paper we present results from experiments for storing RDF ontologies by means of Natural Language Addressing. For experiments we have realized system OntoArM aimed to store RDF triples in multilayer hash tables (information spaces with variable size). The main features of system OntoArM are outlined in the paper. Analysis of the experimental results concluded the work.,Ivanova Krassimira,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:18,,,2014,0,2025-09-05 15:18,
,,,,,,,,,
Storing data using natural language addressing,"Large unstructured or semi-structured datasets require a high level of computational sophistication because operations that are easy at a small scale — such as moving data between machines or in and out of storage, visualizing the data, or displaying results —can all require substantial algorithmic ingenuity. As a data set becomes increasingly massive, it may be infeasible to gather it in one place and analyze it as a whole. Thus, there may be a need for algorithms that operate in a distributed fashion, analyzing subsets of the data and aggregating those results to understand the complete set. One aspect of this is the challenge of data assimilation, in which we wish to use new data to update model parameters without reanalyzing the entire data set. This is essential when new waves of data continue to arrive, or subsets are analyzed in isolation of one another, and one aims to improve the model and inferences in an adaptive fashion — for example, with streaming algorithms [NRC, 2013]. In accordance with the actuality of these problems, firstly in [Mitov, 2011] and after that in [Markov et al, 2013] a new idea has been proposed. It is a method for effective building and storing of pattern sets in multi-layer structures during the process of associative rule mining using the possibilities of multi-dimensional numbered information spaces. The main algorithm was called “MPGN”, an abbreviation from ""Multi-layer Pyramidal Growing Networks of information spaces"". The main goal was to extend the possibilities of network structures by using a special kind of multi-layer memory structures called ""pyramids"", which permits defining and realizing new opportunities. The bottleneck of MPGN became the need to search in billions of values of the association rules’ features to convert instances in numbered arrays (vectors). This is a part of preprocessing step of algorithm (see page 97 of [Mitov, 2011]). The process of numbering took considerable time. After numbering, the MPGN algorithm had shown very good results. This work is aimed to propose a solution of the problem of searching in big index structures by proposing a special kind of hashing, so-called “multi-layer hashing”, i.e. by implementing recursively the same specialized hash function to build and resolve the collisions in hash tables. In other words, the main idea consists in using the specialized hashing functions in depth till it is needed. This approach is called “Natural Language Addressing” (NLA) [Ivanova et al, 2012a; Ivanova et al, 2013a; Ivanova et al, 2013d]. The common sense meaning of the concept “address” is such as a description of the location (of a person or organization), as written or printed on mail as directions for delivery [AHD, 2009]; the conventional form by which the location of a building is described [Collins, 2003]; a sign in front of a house or business carrying the conventional form by which its location is described; [WordNet, 2012]. We will use the concept “address” in the sense accepted in the Computer Science: the code that identifies where a piece of information is stored [WordNet, 2012]; a name or number used in information storage or retrieval that is assigned to a specific memory location; the memory location identified by this name or number [AHD, 2009]. Natural Language Addressing (NLA) is a possibility to access information using natural language words as paths to the information. For this purpose the internal encoding of the letters is used to generate corresponded path. The idea of Natural Language Addressing (NL-Addressing) is very simple. It is based on the computer internal representation of the word as strings of codes in a system of encoding (ASCII, UNICODE, etc.). For example, the ASCII encoding of the word „accession” has the next representation: (97, 99, 99, 101, 115, 115, 105, 111, 110). It may be used as array for multi-layer hashing, which indicates a path to point, where the corresponded information may be stored. The main problem in such approach is that the words have different lengths and, in addition, several words may form one phrase and this way to be assumed as single concept. This means that we need tools for managing multi-layer hashing with variable path lengths in an integrated structure. Due to the complexity of MPGN algorithm and the corresponded program system realized in [Mitov, 2011], their redesign and reprogramming for using NLA have to be done after proving the efficiency of NLA realization. Because of this we will concern several types of semi-structured data: ― small datasets - dictionaries, thesauruses, ontologies; ― middle-size and large RDF triple or quadruple datasets, and will provide corresponded experiments and practical implementation. In accordance with this, the PhD research is aimed to propose information model for NL-addressing and corresponded access method as well as the tools for working in such style, theirs main principles, and storing functions. Results presented in this work were implemented in the Institute of Cybernetics V.M. Glushkov at the National Academy of Sciences of Ukraine, Kiev. They had been used for storing dictionaries, thesauruses, ontologies, and RDF-graphs, extracted from multiple documents from own databases as well as from different internet sources.",IVANOVA Krassimira,review:Decision=excluded; review:Time=2025-09-05 15:18,,,2014,0,2025-09-05 15:18,
Industrial Digitally Prototypes,The whole product lifetime can be firstly defined into 5 major phases.,Niemann Jörg; Niemann Jörg; Pisla Adrian; Pisla Adrian,review:Decision=excluded; review:Time=2025-09-05 15:18,,,2021,0,2025-09-05 15:18,
Multi-domain data modeling for biometrics,"Recently, much work has been performed on CBIR (content based image retrieval) that treats images as single data domain. However, in our highly digitized society, information is being supplied in multiple domains where the data is linked across domains. For example, a web site does contain images, but it may also contain text, hyperlinks, documents, sound files, movies, and other domains of data. Performing recall operations within single domains eliminates the possibility of employing cross-domain inferences. In this work, a multi-domain search space is presented in with two domains: speech and facial images. A single search space is created that contains data from these vastly different domains and cross-domain inferences are allowed. In other words, queries in the speech domain can retrieve image data even if there was no hard link between these data samples. Generation of multidomain search spaces will eventually expand CBIR systems to include data from a variety of sources.",Chen Alex; Kinser Jason,Accuracy; Biometrics; Data domains; Data models; data query; Face; Image color analysis; IsoMap; Speech; Vectors; review:Decision=included; review:Time=2025-09-05 15:17,10.1109/AIPR.2011.6176354,,2011,1,2025-09-05 15:17,
""" PaGaNe""–a CLASSIFICATION MACHINE LEARNING SYSTEM BASED on the MULTIDIMENSIONAL NUMBERED INFORMATION SPACES","A classification machine learning system ""PaGaNe"" based on the multidimensional numbered information spaces for memory structuring is presented in the paper. Testing results, which show the efficiency of chosen approach, are presented.",MITOV ILIA; IVANOVA KRASSIMIRA; MARKOV KRASSIMIR; VELYCHKO VITALII; VANHOOF KOEN; STANCHEV PETER,review:Decision=excluded; review:Time=2025-09-05 15:18,,,2010,0,2025-09-05 15:18,
A SURVEY OF MATHEMATICAL AND INFORMATIONAL FOUNDATIONS OF THE BIGARM ACCESS METHOD,"The BigArM is an access method for storing and accessing Big Data. It is under development. In this survey we present its mathematical and informational foundations as well as its requirements to realization characteristics. Firstly, we outline the needed basic mathematical concepts, the Names Sets, and hierarchies of named sets aimed to create a specialized model for organization of information bases called “Multi-Domain Information Model” (MDIM). The “Information Spaces” defined in the model are kind of strong hierarchies of enumerations (named sets). Further we remember the main features of hashing and types of hash tables as well as the idea of “Dynamic perfect hashing” and “Trie”, especially – the “Burst trie”. Hash tables and tries give very good starting point. The main problem is that they are designed as structures in the main memory which has limited size, especially in small desktop and laptop computers. To solve this problem, dynamic perfect hashing and burst tries will be realized as external memory structures in BigArM.",Ivanova Krassimira,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:16,,,2015,0,2025-09-05 15:16,
Storing and Processing Accounting Information Based on Collect/Report Paradigm,The possibility to store and process accounting information using the Collect/Report Paradigm (CRP) is outlined in this paper. The main idea consists of using CRP to distribute accounting information in multi-dimensional information spaces and stored and processed it in parallel in cloud. Every account may be presented by a separated layer which contains two named sets – Dr and Cr. Storing and reporting may be provided simultaneously without recompilation of the information base.,Ivanova Krassimira,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:18,,,2015,0,2025-09-05 15:18,
MULTI-VARIANT PYRAMIDAL CLUSTERING AND ANALYSIS HIGH-DIMENSIONAL DATA,In this work an example of multi-variant clustering is presented. The problems to be solved are described and multi-variant clustering based on pyramidal multi-layer multi-dimensional structures is outlined. The conclusion is that the multi-variant clustering combined with pyramidal generalization and pruning gives reliable results.,Markov Krassimir; Ivanova Krassimira B; Velychko Vitalii,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,2012,0,2025-09-05 15:17,
Automated translation from domain knowledge to software model: EXCEL2UML in the tunneling domain,"The development of software tools is a collaborative process involving both the domain experts and the software engineers. This requires efficient communication considering different expertise and perspectives. Additionally, the two groups utilize language and communication tools in disparate ways. This, in turn, may lead to hidden misunderstandings in the requirement analysis phase and potentially result in implementation problems later on, that is difficult and costly to correct. In this paper, we demonstrate the above mentioned challenge via a use case from the tunneling domain. In particular, during the requirement analysis phase for a software capable of handling the data model of the subsoil. The domain experts in the field can best express the complexity of their domain by describing its artifacts, which in most cases are incomprehensible to the software engineers. We outline a method that interleaves requirement analysis and software modeling to enable an iterative increase of the accuracy and completeness of the information extracted from those artifacts and integrated into a flexible software model, which can produce testable software code automatically. Furthermore, we present a prototypical implementation of our method and a preliminary evaluation of the approach.",Paskaleva Galina; Mazak-Huemer Alexandra; Villeneuve Marlène; Waldhart Johannes,review:Decision=excluded; review:Time=2025-09-05 15:16,10.36680/j.itcon.2023.019,,2023,0,2025-09-05 15:16,
BUILDING DATA WAREHOUSES USING NUMBERED INFORMATION SPACES,An approach for organizing the information in the data warehouses is presented in the paper. The possibilities of the numbered information spaces for building data warehouses are discussed. An application is outlined in the paper.,Mostovoi Sergey V,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,,0,2025-09-05 15:17,
Smart City Middleware: A Survey and a Conceptual Framework,"Smart city middleware serves as a foundational tool in the evolution of urban digitalization, acting as an intermediary software layer that simplifies the development, deployment, and management of applications tailored for smart urban environments. However, the development of effective middleware for smart cities is challenging. The present research embarks on a comprehensive exploration of the smart city middleware landscape, unraveling the intricacies of its development and the challenges faced therein. Rooted in the assessment of 20 distinct middleware solutions, our study highlights the pivotal technologies, features and functionalities that are imperative for a middleware to effectively support a city’s digital transformation. The functional and non-functional requirements form the nucleus of our evaluation. We also explore the architectural styles pivotal to middleware development and the programming paradigms shaping smart city application development. Our study highlights challenges in using middleware for smart city applications, such as interoperability, scalability, security amidst big data, context management, reliability, quality of service, energy efficiency, and compliance with technological standards and regulations. Based on the detailed analysis, we propose a conceptual framework for smart city middleware, shaped by the challenges and requirements identified in existing literature and middleware solutions. This framework is designed to reflect the diverse demands and complexities of urban digital transformation, and guide smart city middleware development accordingly. As a result, this research stands as a reference study for software developers, urban planners, and researchers, outlining the current state and future directions in the domain of smart city middleware.",Goumopoulos Christos,review:Decision=included; review:Time=2025-09-05 15:16,10.1109/ACCESS.2023.3349376,,2024,1,2025-09-05 15:16,
Building data warehouses using numbered information spaces,An approach for organizing the information in the data warehouses is presented in the paper. The possibilities of the numbered information spaces for building data warehouses are discussed. An application is outlined in the paper.,Mostovoi Sergey V,⛔ No DOI found; review:Decision=excluded; review:Time=2025-09-05 15:17,,,,0,2025-09-05 15:17,
